Point,-11.9861,-77.0922,2
Point,-11.9908,-77.088,2
Point,-11.9878,-77.0926,2
Point,-11.9896,-77.0965,2
Point,-11.99,-77.0967,2
Point,-11.9902,-77.0951,2
Point,-11.9901,-77.0922,2
Point,-11.9893,-77.0892,2
Point,-11.9854,-77.0937,2
Point,-11.9911,-77.0871,2
Point,-11.987,-77.0875,5
Point,-11.9891,-77.0941,2
Point,-11.9856,-77.0928,2
Point,-11.9897,-77.0966,2
Point,-11.9879,-77.0861,5
Point,-11.9877,-77.0943,2
Point,-11.988,-77.0886,2
Point,-11.9892,-77.0963,2
Point,-11.9903,-77.0912,2
Point,-11.987,-77.0874,5
Point,-11.991,-77.0926,2
Point,-11.9867,-77.09,2
Point,-11.9908,-77.0883,2
Point,-11.9876,-77.0909,2
Point,-11.9876,-77.0857,5
Point,-11.9869,-77.0876,5
Point,-11.9872,-77.0898,2
Point,-11.9877,-77.0937,2
Point,-11.9854,-77.0936,2
Point,-11.9901,-77.0947,2
Point,-11.9864,-77.0909,2
Point,-11.9873,-77.0937,2
Point,-11.9874,-77.0878,2
Point,-11.9888,-77.0863,5
Point,-11.9882,-77.0929,2
Point,-11.9903,-77.0941,2
Point,-11.9897,-77.0921,2
Point,-11.9893,-77.0933,2
Point,-11.9869,-77.093,2
Point,-11.9898,-77.0946,2
Point,-11.99,-77.0931,2
Point,-11.9897,-77.0964,2
Point,-11.9861,-77.0945,2
Point,-11.988,-77.089,2
Point,-11.9899,-77.0965,2
Point,-11.9871,-77.0937,2
Point,-11.9908,-77.088,2
Point,-11.9903,-77.0887,2
Point,-11.9884,-77.0925,2
Point,-11.9865,-77.0894,2
Point,-11.9901,-77.0912,2
Point,-11.9867,-77.0885,2
Point,-11.9867,-77.0934,2
Point,-11.9863,-77.0926,2
Point,-11.9875,-77.0909,2
Point,-11.9901,-77.0959,2
Point,-11.9881,-77.0884,2
Point,-11.9877,-77.0913,2
Point,-11.8656,-77.075,0
Point,-11.8624,-77.076,0
Point,-11.8579,-77.0687,25
Point,-11.8462,-77.0648,25
Point,-11.8605,-77.0771,25
Point,-11.9348,-77.0863,21
Point,-11.9359,-77.0821,21
Point,-11.9356,-77.0859,21
Point,-11.9337,-77.0797,21
Point,-11.9367,-77.0861,21
Point,-11.9336,-77.0807,21
Point,-11.9368,-77.0786,11
Point,-11.9379,-77.0864,21
Point,-11.9339,-77.0889,3
Point,-11.9347,-77.0811,21
Point,-11.9384,-77.0805,11
Point,-11.9331,-77.0899,3
Point,-11.9355,-77.0849,21
Point,-11.9351,-77.0842,21
Point,-11.9372,-77.0803,11
Point,-11.9343,-77.0856,21
Point,-11.9351,-77.09,3
Point,-11.9325,-77.0884,21
Point,-11.9363,-77.0816,21
Point,-11.9321,-77.0887,21
Point,-11.937,-77.0819,11
Point,-11.9361,-77.0821,21
Point,-11.9358,-77.08,11
Point,-11.9321,-77.0904,3
Point,-11.9366,-77.0887,3
Point,-11.935,-77.0845,21
Point,-11.9368,-77.088,3
Point,-11.9344,-77.0898,3
Point,-11.9355,-77.0839,21
Point,-11.9348,-77.0877,21
Point,-11.9356,-77.0891,3
Point,-11.9345,-77.088,21
Point,-11.9363,-77.0815,11
Point,-11.9359,-77.0852,21
Point,-11.9354,-77.0885,3
Point,-11.9368,-77.0805,11
Point,-11.9375,-77.0803,11
Point,-11.9366,-77.0808,11
Point,-11.9329,-77.0891,3
Point,-11.936,-77.0882,3
Point,-11.935,-77.0905,3
Point,-11.9365,-77.0789,11
Point,-11.9355,-77.0851,21
Point,-11.9352,-77.0899,3
Point,-11.9353,-77.0883,3
Point,-11.9355,-77.0832,21
Point,-11.932,-77.0895,3
Point,-11.9367,-77.0805,11
Point,-11.9366,-77.088,3
Point,-11.9326,-77.0889,21
Point,-11.9334,-77.0897,3
Point,-11.9349,-77.0846,21
Point,-11.935,-77.0908,3
Point,-11.9319,-77.0902,3
Point,-11.9783,-77.0422,14
Point,-11.9765,-77.0383,14
Point,-11.9747,-77.0374,22
Point,-11.9803,-77.0362,14
Point,-11.9778,-77.0429,14
Point,-11.9776,-77.0373,14
Point,-11.9764,-77.0364,14
Point,-11.9808,-77.0413,14
Point,-11.9749,-77.0378,22
Point,-11.9788,-77.0389,14
Point,-11.9776,-77.042,14
Point,-11.9777,-77.0378,14
Point,-11.9801,-77.0359,14
Point,-11.9766,-77.0368,14
Point,-11.9776,-77.038,14
Point,-11.9774,-77.0366,14
Point,-11.9778,-77.0426,14
Point,-11.9754,-77.0381,22
Point,-11.9771,-77.0351,14
Point,-11.9787,-77.0403,14
Point,-11.9778,-77.043,14
Point,-11.9777,-77.0389,14
Point,-11.9781,-77.0407,14
Point,-11.9779,-77.034,14
Point,-11.979,-77.0375,14
Point,-11.9791,-77.0383,14
Point,-11.9765,-77.0393,14
Point,-11.9782,-77.0384,14
Point,-11.9798,-77.0377,14
Point,-11.9785,-77.0417,14
Point,-11.9798,-77.0374,14
Point,-11.9743,-77.0381,22
Point,-11.976,-77.0385,14
Point,-11.9777,-77.0331,14
Point,-11.9742,-77.0368,22
Point,-11.9746,-77.0383,22
Point,-11.9805,-77.0413,14
Point,-11.9788,-77.0412,14
Point,-11.9788,-77.0372,14
Point,-11.977,-77.0353,14
Point,-11.978,-77.0404,14
Point,-11.9808,-77.0434,14
Point,-11.9782,-77.0379,14
Point,-11.9785,-77.0399,14
Point,-11.9802,-77.0369,14
Point,-11.9782,-77.042,14
Point,-11.9787,-77.0417,14
Point,-11.976,-77.0378,14
Point,-11.9768,-77.0364,14
Point,-11.9791,-77.0406,14
Point,-11.9769,-77.04,14
Point,-11.9773,-77.0351,14
Point,-11.9779,-77.0371,14
Point,-11.9755,-77.0373,22
Point,-11.9803,-77.0395,14
Point,-11.9789,-77.0413,14
Point,-11.9772,-77.0389,14
Point,-11.9777,-77.0349,14
Point,-11.9779,-77.0388,14
Point,-11.9776,-77.0357,14
Point,-11.9768,-77.0383,14
Point,-11.8758,-77.0177,17
Point,-11.9263,-77.042,11
Point,-11.8711,-77.0279,4
Point,-11.8783,-77.0187,17
Point,-11.8737,-77.1248,20
Point,-11.8928,-77.035,4
Point,-11.8532,-77.003,26
Point,-11.9159,-77.0425,9
Point,-11.9307,-77.0843,21
Point,-11.9324,-77.0839,21
Point,-11.9337,-77.0829,21
Point,-11.9283,-77.0809,21
Point,-11.9273,-77.0853,21
Point,-11.9315,-77.0856,21
Point,-11.9328,-77.0825,21
Point,-11.9335,-77.0837,21
Point,-11.9314,-77.0855,21
Point,-11.9323,-77.0835,21
Point,-11.932,-77.0826,21
Point,-11.9324,-77.082,21
Point,-11.9329,-77.0846,21
Point,-11.9302,-77.0809,21
Point,-11.9286,-77.0857,21
Point,-11.931,-77.081,21
Point,-11.934,-77.0861,21
Point,-11.9297,-77.0846,21
Point,-11.9288,-77.0872,21
Point,-11.9312,-77.0811,21
Point,-11.9312,-77.0863,21
Point,-11.9341,-77.0846,21
Point,-11.9315,-77.0835,21
Point,-11.9299,-77.0811,21
Point,-11.9281,-77.0806,21
Point,-11.9287,-77.0793,21
Point,-11.931,-77.0842,21
Point,-11.9285,-77.0795,21
Point,-11.9264,-77.0848,21
Point,-11.9327,-77.0825,21
Point,-11.9338,-77.0825,21
Point,-11.9296,-77.0807,21
Point,-11.9346,-77.0845,21
Point,-11.9339,-77.083,21
Point,-11.9313,-77.0848,21
Point,-11.9284,-77.0865,21
Point,-11.9295,-77.0807,21
Point,-11.9295,-77.0816,21
Point,-11.9306,-77.0822,21
Point,-11.9328,-77.0836,21
Point,-11.9337,-77.0824,21
Point,-11.9274,-77.0817,21
Point,-11.9325,-77.0835,21
Point,-11.9323,-77.0853,21
Point,-11.9329,-77.0848,21
Point,-11.9299,-77.0824,21
Point,-11.9321,-77.0819,21
Point,-11.9285,-77.0855,21
Point,-11.9334,-77.0857,21
Point,-11.9302,-77.0823,21
Point,-11.9315,-77.0846,21
Point,-11.9324,-77.083,21
Point,-11.9326,-77.0845,21
Point,-11.9343,-77.0842,21
Point,-11.9315,-77.0833,21
Point,-11.9339,-77.0848,21
Point,-11.9311,-77.0853,21
Point,-11.9319,-77.0865,21
Point,-11.9306,-77.0857,21
Point,-11.9315,-77.0864,21
Point,-11.9305,-77.0813,21
Point,-11.9378,-77.0591,11
Point,-12.0311,-77.083,2
Point,-11.8725,-77.0631,9
Point,-11.8727,-77.0615,9
Point,-11.8748,-77.0615,9
Point,-11.8752,-77.0669,9
Point,-11.8762,-77.0669,9
Point,-11.8754,-77.0671,9
Point,-11.8722,-77.0632,9
Point,-11.8734,-77.0612,9
Point,-11.8734,-77.0632,9
Point,-11.8701,-77.0622,9
Point,-11.8728,-77.0582,9
Point,-11.8748,-77.0596,9
Point,-11.8777,-77.0598,9
Point,-11.8727,-77.0635,9
Point,-11.8716,-77.0633,9
Point,-11.8722,-77.0632,9
Point,-11.8768,-77.0634,9
Point,-11.877,-77.0558,9
Point,-11.8694,-77.0615,9
Point,-11.873,-77.0623,9
Point,-11.8742,-77.064,9
Point,-11.874,-77.06,9
Point,-11.8752,-77.0617,9
Point,-11.877,-77.0631,9
Point,-11.8719,-77.0619,9
Point,-11.878,-77.064,9
Point,-11.871,-77.0602,9
Point,-11.8749,-77.0655,9
Point,-11.8775,-77.0601,9
Point,-11.8733,-77.0647,9
Point,-11.8742,-77.0612,9
Point,-11.8758,-77.0631,9
Point,-11.8776,-77.0604,9
Point,-11.8781,-77.06,9
Point,-11.8802,-77.0687,9
Point,-11.8748,-77.0643,9
Point,-11.8736,-77.064,9
